song_name,album,release_date,lyrics
Growing Apart,Overly Dedicated,2010-09-14,"Where are we going? Why are we slowing down?
Where are you going? We should be growing now
Smoke to it nigga, smoke to it nigga, oh
Where are we going? We should be slowing down
Where are you going? We should be growing now
That’s what she said to me, that place I used to call home
Is just a bed to me
And we don’t even sleep, neighbors can hear her weep
Meanwhile I’m in these streets with everybody, I’m trying to get it
And she know they got me, I watch her feelings watch me
As they staring with the saddest eyes of loneliness
Look each other in the face and barely blink
I tried to make it right, but the pen ran out of ink
So if my letters don’t reach you, I hope these lyrics in sync
That’s what it said to me
But the place I call ambition now dead to me
Gone and forgotten, I’m off track like Dale Earnhardt
My liver rotten, alcoholic tripping
Fucking bad bitches and they got bad intentions
Club night, guys and dolls
Balling out but I'm 'bout to drop the ball
I’m calling out for help, my engineer called
Told me come to the studio, I wanna tell him– ""Nah""
That’s what he said to me
But that place we call Heaven unfair to me, only 144 can go
Seven billion people on planet Earth today
Is there something that I don’t know
I know to follow Him rather following people
Or follow vanity cause that means I’m following evil
Guess I’m following evil, I should follow cathedral
Blessings I need but live like I don’t need you
So in conclusion
We all seem to stumble, planning our own demise
Forgetting the big picture and making it wallet size
So to what is important in my life, I apologize
I promise to stay faithful, focused and sanctified
We all get distracted, the question is
Would you bounce back or bounce backwards?
Would you not know how to act or take action?
It’s just a part of life and if your vision’s impaired, you probably lose it all tonight"
Ignorance Is Bliss,Overly Dedicated,2010-09-14,"Lord forgive me
Kill him where he stand and stand over him, shake his hand
Then jump back in that minivan, double back to his block and blam
I ain't backing down for nothing, I'ma back 'em down like Shaq
With this black -- in my hand, better pray that this chopper jam
Like a radio single, man, Police radio signals saying
That a  land on your corner, coroners comfort your momma
""Momma, he's dead,"" the next morning, I toasted up with my homies
We drink and smoke marijuana, want us to change our ways? Uh-huh
You see this game we play come from, uncles that raised me in Compton
Ask me what I have accomplished, I don't know, I don't have conscience
I just load up and start dumping on enemies I'm headhunting
No sympathy, ain't no love, when you in these streets, just get something
Protect your neck 'cause they coming for set respect, split your onion
Then chop your deck, your head tumbling like gymnastics (Ooh...)
'Cause ignorance is bliss
This the hardest shit you've heard from LA this far
And I'm this far from a discharge, but never will I diss y'all
We all tryna ball, and when I got the rock, I'll dish off
Until the day I pistol-whip you posers 'til y'all pissed off
Then peel off in a hoopty
Come back and make these niggas wanna shoot me
And they bitches wanna salute me or seduce me
Indubitably, I'm too street—indubitably, I'ma do me
Better than your bitch would, 'cause you niggas too weak
But just give me two weeks and I'm good
I'll make an album that'll put a smile on Malcolm
Make Martin Luther tell God I'm the future for Heaven's talent
No tarot card reading; I'm foreseeing you niggas vanish
Not only from the rap game—I'm including the planet
Cats so watered-down, clowns can sink Titanic
Tie titanium around they neck and watch 'em panic
Give me respect, dammit, or get damaged
Die young, corpse identified by your parents
Apparently, you a parrot, mocking me and my blueprint
But I won't share it, just make you cop it, then call you a sheriff
Stop it, I'm hearin' the comments
The critics are calling me conscious
But truthfully, every shooter be calling me Compton
So truthfully, only calling me Kweli and Common?
Proves... that ignorance is bliss
This the hardest shit you've heard from LA this far
And I'm this far from a discharge, but never will I diss y'all
We all tryna ball, and when I got the rock, I'll dish off
Until the day I pistol-whip you posers 'til y'all pissed off
Then peel off in a hoopty
Come back and make these niggas wanna shoot me
I'm So-Cal, you so-called rappers need to go call Ghostbusters
'Cause you busters are Casper when I go off
I show up to show out and show off
You a hundred percent behind me
And if you are, then wreck your car
Then walk up to my crime scene
I remember bein' seventeen, wishin' someone would sign me
Now the only way these labels get me back is when they rewind me
Backin' down bargains, backin' down bitches
We gon' flip her
Once she off that blue dolphin, you gon' tip her
'Cause ignorance is bliss
And Willie B, I'm a fool on your beats
I bleed out the speaker as the speaker that spoke when they didn't speak
"
P&P 1.5,Overly Dedicated,2010-09-14,"Oh, what up ho? Oh, what up?
I said, oh, what up ho? Oh, what up?
I said, oh, what up ho? Oh, what up?
Well, alright
I'm going through something with life
But pussy and Patrón make you feel alright
Pussy and Patrón make you feel alright
Pussy and Patrón, that's some great advice
I'm going through something with life
But pussy and Patrón make you feel alright
Pussy and Patrón make you feel alright
Pussy and Patrón, that's some great advice
Welcome to my diary, stressing got me gray hairs
Something to inspire me, rather than society's
Woes, let me go, let me shine a lil' bit, love
I want diamonds, too: Ronnie on Player's Club
I used to have a nine-to-five; fresh out of school—that was '
That bitch was racist, got me fired; ever since then, I had no job
Pushing in my momma van, stop for gas on Rosecrans
Trust me, these niggas rushed me for something my cousin prolly did
Guilty by association: story of my life, nigga
You gon' make me flip and split your shit, judge give me life, nigga
Pain since my grandma's death, Uncle killed at Louie's Burgers
Hold my tears, I tried my best; let it go, drench my pullover
Cycles of a starving artist, tryna go beyond the margin— margin
Maintaining my modest— modest as I dream
So while I go through all this— all this bullshit, what you call it
Life itself, I know what helps, let me scroll through my Blackberry
(""Hey, what's up, daddy?"")
You might also like
I'm going through something with life
But pussy and Patrón make you feel alright
Pussy and Patrón make you feel alright
Pussy and Patrón, that's some great advice
I'm going through something with life
But pussy and Patrón make you feel alright
Pussy and Patrón make you feel alright
Pussy and Patrón, that's some great advice
All I need in this lifetime: Pussy and Patrón
Give me that, once you give me that, once again, it's on
Bitch, I'm swagged up, hoes bopping when I'm off that Screw
Coming down clean, tell your baby momma, ""What it do?""
Where your friends at? I got long dick—what it is?
Go'n' poke it out, situate your little positives
How I live? Big shot, on my grind, already
I'ma lay it down like a carpenter when you let me
Give me that funk
That sweet, that nasty, that gushy stuff
I can't get enough
If I offend you, blame it on the liquor, babe
Give me that funk
That sweet, that nasty, that gushy stuff
I can't get enough
If I offend you
Ugh, I wrote this song when Dave drove home
And caught that flat in the mean T-Flats
And it made me think if we could blink
To change locations where we at
We often get lost in the alcohol bottle
In attempt to ignore pain, problem, and sorrow
Just for a minute, then back to the bullshit
Your car note due, and you 'bout to get evicted
Two drugs, surely, Patrón, pussy, make it feel alright
But once it's empty and that bitch leave, then it's back to life
You can't run from it, gotta run to it, nigga
The antidote wouldn't last, and you knew it, nigga
But still, you proceed to dive deep, ask what's her Zodiac sign
I'm going through something with life
But pussy and Patrón make you feel alright
Pussy and Patrón make you feel alright
Pussy and Patrón, that's some great advice
I'm going through something with life
But pussy and Patrón make you feel alright
Pussy and Patrón make you feel alright
Pussy and Patrón, that's some great advice
I'm going through something with life
But pussy and Patrón make you feel alright
Pussy and Patrón make you feel alright
Pussy and Patrón, that's some great advice
I'm going through something with life
But pussy and Patrón make you feel alright
Pussy and Patrón make you feel alright
Pussy and Patrón, that's some great advice
All I need in this lifetime: Pussy and Patrón
Give me that, once you give me that, once again, it's on
Bitch, I'm swagged up, hoes bopping when I'm off that Screw
Coming down clean, tell your baby momma, ""What it do?""
Where your friends at? I got long dick—what it is?
Go'n' poke it out, situate your little positives
How I live? Big shot, on my grind, already
I'ma lay it down like a carpenter when you let me"
Alien Girl,Overly Dedicated,2010-09-14,"She look better than Beyoncé, Alicia Keys, Halle Berry, Miss Jolie
Where's she from? No I.D. (That girl's an alien)
And if I die before I wake, I pray that I'm in outer space
UFO, fly away
So, let's go, go, go, go
Let's go, go, go, go
Let's go, go, go, go
Let's go, let's go
Uh, she got me goin' (Now, she goin'), I'm all in (All in)
Fifty stories (Damn), I'm fallin' (Mm)
Where you been? Is it planet Mars?
Far beyond the stars? Are you a Martian?
You're unfamiliar (Unfamiliar) but still, I feel ya (Feel me?)
Energy is sendin' me towards the ceilin'
I'm high now (High now?), are you up there? (Up there?)
If you was, I would climb every other stair (Mm)
I gotta stare (Gotta stare), I mean, wow
And I'm wowed, no one compares (No one compares)
A one-on-one (One-on-one), you must've won (Must've won)
Every pageant in America when you was young
You might also like
Lips, hips, hair drip down her back (Crazy)
Body frame (Crazy), insane (Crazy)
The only girl that can make time
Then make me stop—
She look better than Beyoncé, Alicia Keys, Halle Berry, Miss Jolie
Where's she from? No I.D. (That girl's an alien)
And if I die before I wake, I pray that I'm in outer space
UFO, fly away
So, let's go, go, go, go
Let's go, go, go, go
Let's go, go, go, go
Let's go, let's go
Uh, so, now we on (Now we on), so, now we goin' (Now we goin')
Livin' in the city of the unknown (Unknown)
I show her off (Show me off), I stunt with her (Stunt with me)
We do it sweet (Do it sweet), they look bitter (Mm)
Look at her get up (Look at my get up), I hear 'em say (What they say?)
""But why him?"" (""Why him?"") I hear 'em hate (Hear them hate)
I laugh at it, rather than jab at it
Then continue eternal life as a crack addict
'Cause I'm addicted (You addicted), and you the drug (Drug)
Cold turkey? (No way) No, sir (Mm-mm)
You gotta be an Odyssey from heaven and above
You definitely know, probably, I gotta give it up
Lips, hips, hair drip down her back (Crazy)
Body frame (Crazy), insane (Crazy)
The only girl that can make time
Then make me stop—
She look better than Beyoncé, Alicia Keys, Halle Berry, Miss Jolie
Where's she from? No I.D. (That girl's an alien)
And if I die before I wake, I pray that I'm in outer space
UFO, fly away
So, let's go, go, go, go
Let's go, go, go, go
Let's go, go, go, go
Let's go, let's go
You somethin' different, I'm glad I found you
So pretty, I'll never do anythin' to hurt you
"
Opposites Attract,Overly Dedicated,2010-09-14,"Uh, yeah, uh, yeah
Uh, yeah, uh
We hurt people that love us, love people that hurt us
Hurt people that love us, love people
I'm inspired, so get inspired
And so he said ""Why you gotta be so kind-hearted?
Why you couldn't be a con artist? Why you couldn't?
Why you couldn't be mischievous or just a lil' devious
The moment that we first started?
Why you never ask for nothing, just a lil' time?
Why you let me use yours 'cause I don't got mines?
Why you always lift me up, when I'm completely giving up
And when niggas holla, ""What's up?"" you give a dry response?
Why you giving me your last knowing you ain't got it?
Why you always buy me something when you going shopping?
Why you tell me that you love me?
Why you always thinking of me?
Want my company rather than going club hopping?
Why you treating my momma like she your momma too?
Why you making promises that you'll forever do?
Whatever just to make me happy, wanting us to have a family
These are exactly the reasons why I cheat on you"" (Sometimes)
You might also like
We hurt people that love us, love people that hurt us
Hurt people that love us, love people that hurt us
Hurt people that love us, love people that hurt us
Hurt people that love us, love people that hurt us
And so she said ""Why you gotta be so mean to me?
Why you don't know what you mean to me?
Why you always playing games? Why I feel like you ashamed
Out in public curse me out and make a scenery?
Why you got other bitches rolling their eyes at me?
Why text messages popping up saying, ""Hi, Daddy""?
Why you treat me like I'm nothing? Why you always at a function?
I be wanting to go out but you don’t ever ask me
Why you slip and say her name when we having sex?
Why you always assuming that I still like my ex?
Every time we get into it, I'm the one that's feeling stupid
You don't need me, you gon' leave me, that's ya favorite threat
Why you never know how it feel to be lonely?
Why I feel I'm the last option after ya homies?
Why you always gotta know that I will never let you go
Even though you get violent and put your hands on me?""
Sometimes
We hurt people that love us, love people that hurt us
Hurt people that love us, love people that hurt us
Hurt people that love us, love people that hurt us
Hurt people that love us, love people that hurt us"
Michael Jordan,Overly Dedicated,2010-09-14,"Ugh, every time I’m in my city, I be acting like my shit don’t stink
Used to clean my Rolie chain with alcohol in the sink
Riding around with niggas that I grew up with since Mc
Nair
Bumpin' ""Me Against the World""—hello, world, Kendrick here
And I’m too much for these niggas, I’m three much for these hoes
I’m too much for these niggas, I’m three much for these hoes
I’m too much for these niggas, I’m three much for these hoes
Wayne told me that, and that's just how it goes
Michael Jordan
Bounce-bounce, ho
Bounce-bounce
This shit make a nigga wanna get some bread or bust a head
Or fuck my enemy's bitch, acting bad and getting rich
Pull up on them twenty-sixes, I’m a vanity slave
I’m a sinner, Jesus Christ, please forgive me for my ways
I don’t know why your bitch want to fuck me
And I don’t know why you fuck niggas can’t see
I’m a Comp-town representer, a concrete back-flipper
A.K.A ""that nigga,"" don't wuwwy!
I don’t know why your bitch want to fuck me
And I don’t know why you fuck niggas can’t see
This is Hiii
Power, since the Eddie Bauer, I been popular
I’m popping now, every other hour, paparazzi come
You jocking her, let her be a ho, why you stopping, though?
We stopping the traffic, what you know 'bout them hockey pucks?
Skating on 'em, why you hating on 'em? You should learn from 'em
Seen too many of y’all getting money, know my turn coming
I don’t know why your bitch wanna fuck me
I don’t know why (Hey, wait a minute, motherfucker)
You might also like
Ugh, every time I’m in my city, I be acting like my shit don’t stink
Used to clean my Rolie chain with alcohol in the sink
Riding around with niggas that I grew up with since Mc
Nair
Bumpin' ""Me Against the World""—hello, world, Kendrick here
And I’m too much for these niggas, I’m three much for these hoes
I’m too much for these niggas, I’m three much for these hoes
I’m too much for these niggas, I’m three much for these hoes
Wayne told me that, and that's just how it goes
Man, the game chose me, what am I to do?
The only thing I did wrong was make it possible
I diddy bop and make them titties pop
Out there on my bumper like a city cop
Walking out the Fred Segal, put my girl on it
Ass so fat, probably sit the world on it (Aye)
Pussy crazy, pussy crazy
You fuck niggas, you pussies crazy
Man, I know I can’t tell you about the world, homie
But I know I can tell you about your girl, homie
Her pussy crazy, her pussy crazy
I fucked, nigga—I know you hate me
I know they pay me too much of attention
Bring my name up, it gotta be mentioned
I need me an engine that go real fast
Call it ""hall of fame"" once it haul ass
Give me tall glass, Coconut Cîroc
Please, no soda pop, I make my solo pop
Life’s a bitch, her pussy crazy
But I make that pussy pay me
Ugh, every time I’m in my city, I be acting like my shit don’t stink
Used to clean my Rolie chain with alcohol in the sink
Riding around with niggas that I grew up with since Mc
Nair
Bumpin' ""Me Against the World""—hello, world, Kendrick here
And I’m too much for these niggas, I’m three much for these hoes
I’m too much for these niggas, I’m three much for these hoes
I’m too much for these niggas, I’m three much for these hoes
Wayne told me that, and that's just how it goes
Ugh, every time I’m in my city, I be acting like my shit don’t stink
Used to clean my Rolie chain with alcohol in the sink
Riding around with niggas that I grew up with since Mc
Nair
Bumpin' ""Me Against the World""—hello, world, Kendrick here
And I’m too much for these niggas, I’m three much for these hoes
I’m too much for these niggas, I’m three much for these hoes
I’m too much for these niggas, I’m three much for these hoes
Wayne told me that, and that's just how it goes"
R.O.T.C,Overly Dedicated,2010-09-14,"This is me thinking at : AM, June th
Sometimes I wanna say fuck rapping, I need money now
Like should I start trapping?
If what I write down don't collect this very moment
Then I'm on it, no question
In the streets, my niggas is well connected, let's see
Do I cop a pound of kush, promethazine or push some E?
Oxycontin have me laying on soft cotton when I sleep?
This is deep as the abyss, I'm not just rhyming on the beat
I be in spots, chopping the rocks like Flintstone feet
This is me, frustrated, battling my own evils
Finna saddle up that work across Ohio in a Geo
Or should I sell my music .zip to buy your zip
And hope one day it flourish to a kilo
Track record of a hustler
Rather records on the needle, making music
Clocking fast bank like a shot from Patrick Ewing
My nigga, what you doing on these corners whipping?
""I thought you had a show?"" Well, my nigga, I guess I didn't
I'm tryna get this dough, and easy money sounds tempting
Especially when your homies pushing V engines
Twenty-two on twenty-sixes, Range Rovers rolling up
Three-fifty for an ounce of fire, I hope I got enough
This industry calling my bluff, I need a new solution
Curb-serving, or I might be in your store boosting
Two-elevens with Mac-s like fuck hip-hop
Don't wanna be Pun, don't wanna be B.I.G., don't wanna be Pac
Just give me your funds, A.K.A. everything that you got
Or everything getting shot, for nothing
Leave you in shock, coughing up blood and mumbling
Watch, the plans of a young man sponsor
Moving grams like relocating your mom's momma
Then expand to the Hoover Dam, water, sherm
Contraband, they yearn for the butt-naked
Fuck a verse, verses get let off in thirty minutes, six seconds
I disperse to the world of unruly, where I put the mic down
And pick up a sack and a toolie, if you knew me
You'll know I always had a passion for riddling, writing
But lately, I've been thinking 'bout taking chances to brighten
My future financially, so please don't be mad at me
I gotta do what I gotta do, no shit
So I tell my nigga, ""Front me, let me put it on the strip""
Then give it back when I think about the consequence
Shit...
You might also like
R.O.T.C—Right On Time Conscience
"
Barbed Wire,Overly Dedicated,2010-09-14,"One time
Reporting live
Compton, California
Have you ever felt like, like you never get life?
Like you never did right, sort of like a black sheep?
Back down, backing out your dreams like some bad sleep
Chasing for the wind but you never win the track meet
Oh, what a cold world for a broke nigga, it's bitter
And life's a bitch, don't hit women, so I bit her
I struck enough pain let her know I wasn't playing
I was so sincere like Nas' first name in Belly
They tell me, it's very difficult to see 
And if I survive it's probably with a celly
My opportunities are low because my brown complexion floats
In the ghetto rather in some heels like Giuseppe's
They want me unemployed, until I hit the streets
Fulfilling voids of broke D-Boys selling weed
Fucking up my prestige, 'til I live with the blues
BB King or the neighbors of Snoop, that's why I'm
In the club like fuck it, though
They say it's only one life, life, life
And if you say I can't live comfortable
I'ma tell you that's a lie, lie, lie
So while I hold this bottle of Ciroc with a hand full of ass
Celebrate the very day that I get past
Through the barbed wire
We are, we are (Fighters)
We are, we are (True)
Through the, through barbed (Wires)
We will, will break (Through)
So while I hold this bottle of Ciroc with a hand full of ass
Celebrate the very day that I get past
Through the barbed wire
You might also like
Have you ever felt like, like you never get life?
Like you never did right, sort of like a black sheep?
Tryna get away from the world's stereotype
Barbed wire got a barricade on your destiny, she desperately
In need of some inspiration, see what the people saying
She gon have a baby then flee from her education
At the age of , credit card scam schemes
See a scar on her eye, boyfriend brutality
She'll never get by, no how, no way
Welfare recipient, property of the state
Housing, Section , corner store prostitute
The owner bout to prosecute, the niggas tell her that she's cute
Hoodrat trashy, six baby daddies
And this baby daddy is new to the family
Chilling in pajamis, waiting on the first
Fast forward spilling drinks on her fur, that's why she
In the club like fuck it, though
They say it's only one life, life, life
And if you say she can't live comfortable
She gon' tell you that's a lie, lie, lie
So while she up in VIP pouring Merlot in the glass
Celebrate the very day that she get past
Through the barbed wire
We are, we are (Fighters)
We are, we are (True)
Through the, through barbed (Wires)
We will, will break (Through)
So while she up in VIP pouring Merlot in the glass
Celebrate the very day that she get past
Through the barbed wire
Have you ever felt like, you finally got life
You finally got right? No longer a black sheep
Living off ya dreams like Christina uh-Milian
In the front seat of a convertible eloping to get married
What a feeling of overcoming the odds
It's like we just hit the lottery, my God
There must be a God, cause golly
You done made it through the fight while squabbling Ali
Now ya lifestyle's looking up and you escaped the crooked cuffs
And you ain't have to kill a nigga just to make a couple bucks
And she ain't have to go and fuck on everybody for a dollar
Making good decisions, got a independent business-mind
And both of y’all are steady grindin', doing it the legal way
Just tryna make a decent pay on every second of the day
But they won't give you the credit, disses out they mouth
You must have joined the Illuminati just to ball out
In the club like fuck it, though
They say it's only one life, life, life
And if you say they can't live comfortable
They gone tell you that's a lie, lie, lie
So even if you overcame doubt and ya living ain't bad
Know it's a barbed wire that's always in your path
Through the barbed wire (Just laugh)
Then everybody say...
'Cause I won't get caught again
And I'm here to stop the trends
You can catch me if you try
Disappear into the night
And I'm gone
So you made it past all the barbed wires?
There's one more left *Gunshot*
"
Average Joe,Overly Dedicated,2010-09-14,"The hardest thing for me to do
Is to get you, to know me, within sixteen bars
That's the hardest thing
Who is K. Dot? A young nigga from Compton
On the curb writing raps next to a gunshot
On the corners where the gangsters and the killers dwell
The fraudulent tender scars that get unveiled
Everyone I knew was either Crip or Piru
Cousins in elementary, relatives in high school
With that being said, each one of their rivals
Was aiming something at my head, I needed survival
Got jumped, got jacked, shot at, shot back
And I don't even push a line, I'm just tryna push these rhymes
In the midst of staying neutral and discrete
My momma said you're judged by the company you keep
But what you can consider, that if it goes down
They'll kill you if you kill me, it gets deep nigga
So if you ask what I'm doing
I'm tryna duck the influence of my city that's brewing, real talk, and
This is why they fuck with me (real talk nigga, believe it)
This is why they fuck with me (do what I do, ya know?)
I'm no gangster, no killer, I'm just your average Joe (know that)
But one thing you should consider, I'm the realest you know
You might also like
I was walking from Centennial
When an unidentified vehicle rolled up, and I was like ""hol' up""
""Where you from?"" I don't bang
""Where you stay?"" Westside, that's a Piru gang to be exact
Well aware they had blue across they hat
Dropped backpack and ran inside of the cul-de-sac
Shots rang out, hoping to God I wasn't wet
Crossed across Rosecrans and ran inside of the yet
Chirped the homies on the I-, they said they already knew
What happened, and meet 'em outside the garage
Never seen that many guns in my life
I was paranoid like a fiend in the night, but needed revenge
Grabbed the nine-ball, opened up the door, then got in
Somebody said, ""fall back, we gon' make these niggas suffer
You my brother like a frat, and that's just to remind you""
Thought about that so long I had failed my finals, fuck, but
This is why they fuck with me (I told you, nigga)
This is why they fuck with me (you fake nigga)
I'm no gangster, no killer, I'm just your average Joe (you fake)
But one thing you should consider, I'm the realest you know
I don't do black music, I don't do white music
I do everyday life music
Give 'em cuts like a nigga pierced a knife through it
You say you through, but I've been through it, now that's cold
And this is for my county building children
In Hub City on hubcaps, no power-steering
I use perseverance in this mad city
Where the niggas drink Remy and hold semis for cutthroats
Bernie Mac died, it's no joke
Don't ask why if you don't know about these killers and thieves
Seven grams of weed, you smoke that, but I'm high off life
I could fall out the sky like twice
And land in the land of the AKs
And the minivans where the fan never on
Cause it's hotter than a lunatic's underarms in a straight jacket
In other words, we get it cracking, but I keep it cool, you know?
This is why they fuck with me (haha)
This is why they fuck with me (real talk)
I'm no gangster, no killer, I'm just your average Joe (come on)
But one thing you should consider, I'm the realest you know
So there you have it
But I'mma leave you with this
An O.G. once told me
A real gangster is either dead or in jail
Or behind the scenes getting real money
I'm gone
"
H.O.C,Overly Dedicated,2010-09-14,"H.O.C., H.O.C
All the real smokers get me H.O.C
All the real smokers get me H.O.C
H.O.C., H.O.C
All the real smokers get me H.O.C
All the real smokers get me H.O.C
Everybody know I spit that other shit
Shit that make you duck for cover shit
Shit that make you hop out your seat and slap your mother shit
Especially when Drop drop the beat
I drop jewels like my nuts dropped out of my briefs
Jump in the booth and shatter every rapper's dream
They jump in a sauna because I killed their self-esteem
That's a jab, you should bob and weave
Like Pam when Martin pulled jokes out his sleeve
I go in studio sessions and feel like a nerd
Cause I'm the only nigga there not smoking no herb
You telling me the kush make you think on level four?
I'm on five, you saying that I can level more?
In high school, my teachers thought I was smoking stress
Didn't know my eyes low cause of genetic defects
I stimulate my mind every time I think about the end of time
Creation of man, and Columbine
You might also like
Bet you think that this some high shit that I wrote
Probably think I'm off the kush or the hydro
(Nope) I don't even smoke, I don't even smoke
I don't even smoke, I don't even smoke
I really appreciate that you share your Indo
But a sip of Henny is the farthest I would go
I don't even smoke, I don't even smoke
I don't even smoke, I don't even smoke
Look, nowadays everybody think they're big chiefers
Just cause they heard that new tape from Wiz Khalifa
Knowing damn well they can't hit the sour
They're new booties, they probably need baby powder
My skill shower over your city for  days
 nights, off the chain, like freedom of slaves
Before you get it twisted, like  gays
My flow worth the earth, that's not to be appraised
Those the type of lines that I'm talking 'bout
You know the type of rhymes you don't talk about
Copy my session on a disc when the session ends
So my momma can have it and play it for her friends
Brag on me, like ""My son's 'bout to win
Somehow, someday, and I don't care when""
I might hit the gin once a month
I'll let you inhale, like an atheist
Bet you think that this some high shit that I wrote
Probably think I'm off the kush or the hydro
(Nope) I don't even smoke, I don't even smoke
I don't even smoke, I don't even smoke
I really appreciate that you share your Indo
But a sip of Henny is the farthest I would go
I don't even smoke, I don't even smoke
I don't even smoke, I don't even smoke
I'll take you back to the th grade
When Dough Boy had me high for  days
That's my nigga, he a street nigga
Probably in your hood, fucking up your street, nigga
But anyway I think it was some purple
Told me ""Don't hit it hard because it'll hurt you""
I didn't listen, I was floating like the Rose Parade
Swear to God a nigga seen some flying fishes
That was the Vegas trip, Hooters sponsored
The same time I start writing like a fucking monster
I'm Frankenstein every time this mothafucker ponders
Just underline every letter, capital K-D-O-T
Laying it flat out, like a tire with slow leaks
Now what you 'bout? Nothing huh
Am I a square cause I don't puff a square?
Are my raps too blunt to hit the blunt? Yeah
Bet you think that this some high shit that I wrote
Probably think I'm off the kush or the hydro
(Nope) I don't even smoke, I don't even smoke
I don't even smoke, I don't even smoke
I really appreciate that you share your Indo
But a sip of Henny is the farthest I would go
I don't even smoke, I don't even smoke
I don't even smoke, I don't even smoke
H.O.C., H.O.C
All the real smokers give me H.O.C
(Bitch I'm blowed!)
"
